Profile Pic,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Delta,Fake
1,3,0,133,1,0,1,1,5733,155956,3462,152494,0
1,2,0,0,1,0,1,1,6597,278906,1399,277507,0
1,1,0,137,1,0,0,1,742,5663,3814,1849,0
1,1,0,61,1,0,0,1,235,113848,27,113821,0
1,2,0,15,1,0,0,1,181,1374,612,762,0
1,1,0,43,0,0,0,0,31,499,458,41,0
1,0,0,2,0,0,1,1,17,299846,635,299211,0
1,2,0,31,0,0,0,1,285,30720,1414,29306,0
1,2,0,40,0,0,1,0,74,344349,535,343814,0
1,1,0,7,0,0,0,1,115,359,230,129,0
1,2,0,110,1,0,0,0,2237,8120,255,7865,0
1,2,0,53,0,0,0,1,665,4080,615,3465,0
1,2,0,116,0,0,0,0,100,1188,465,723,0
1,2,0,134,0,0,0,0,365,47452,599,46853,0
1,3,0,113,1,0,1,0,4427,61413,914,60499,0
1,2,0,80,0,0,0,1,171,1037,951,86,0
1,1,0,104,0,0,0,1,538,3287,410,2877,0
1,3,0,149,1,0,0,1,461,7944,1038,6906,0
1,2,0,74,1,0,0,1,606,46062,2921,43141,0
1,3,0,120,1,0,0,0,548,19305,2141,17164,0
1,2,0,145,0,0,0,1,216,1704,526,1178,0
1,3,0,12,0,0,0,0,125,1471,1006,465,0
1,2,0,146,0,0,0,1,1138,14349,1876,12473,0
1,4,0,134,1,0,0,1,1618,60732,69,60663,0
1,2,0,68,1,0,0,1,139,17084,2879,14205,0
1,2,0,44,0,0,0,1,249,9681,728,8953,0
1,2,0,122,1,0,0,0,5629,676112,10,676102,0
1,1,0,24,1,0,0,1,114,3387,993,2394,0
1,2,0,129,1,0,0,1,83,2352,1430,922,0
1,3,0,118,0,0,0,1,36,1173,1449,-276,0
1,2,0,113,1,0,0,1,156,12439,791,11648,0
1,2,0,48,0,0,0,0,15,51,6,45,0
1,3,0,67,0,0,0,1,1236,3539,881,2658,0
1,3,0,48,0,0,0,1,90,3447,675,2772,0
1,1,0,89,1,0,0,0,1718,82988,1372,81616,0
1,3,0,123,1,0,0,1,888,30699,239,30460,0
1,1,0,0,0,0,0,0,1692,6124,1452,4672,0
1,2,0,22,0,0,0,1,9,1702,879,823,0
1,1,0,118,0,0,1,0,354,618308,866,617442,0
1,3,0,112,1,0,0,0,353,12352,495,11857,0
1,3,0,96,1,0,0,0,429,124952,273,124679,0
1,2,0,34,1,0,0,0,219,1014,846,168,0
1,4,0,134,1,0,0,1,180,82739,576,82163,0
1,2,0,80,1,0,0,0,1061,672308,138,672170,0
1,3,0.2308,21,1,0,0,1,194,21900,499,21401,0
1,3,0,78,1,0,0,0,2039,19565,2283,17282,0
1,2,0,140,1,0,1,0,1040,3310695,251,3310444,0
1,2,0,115,1,0,1,0,2344,3962636,205,3962431,0
1,2,0,36,1,0,1,1,399,16962068,401,16961667,0
1,2,0,147,1,0,0,0,2430,29375,1490,27885,0
1,2,0,0,0,0,0,0,10,669,296,373,0
1,4,0,111,1,0,1,0,611,966719,2233,964486,0
1,2,0,117,1,0,0,0,310,156123,286,155837,0
1,3,0,71,0,0,0,1,107,21595,79,21516,0
1,2,0,68,1,0,0,0,41,706305,554,705751,0
1,2,0,123,1,0,1,0,2575,1758235,262,1757973,0
1,1,0,0,0,0,0,0,60,269,111,158,0
1,2,0,26,1,0,1,0,5238,129898680,376,129898304,0
1,1,0,26,0,0,0,1,7,1294,992,302,0
1,2,0,131,1,0,1,0,1121,2439411,1849,2437562,0
1,2,0,90,1,0,1,0,172,1641401,149,1641252,0
1,4,0,90,1,0,1,0,2844,2307159,174,2306985,0
1,3,0,123,1,0,0,0,194,38936,540,38396,0
1,2,0,93,0,0,1,0,360,139666,1954,137712,0
1,1,0,111,1,0,0,0,56,673210,717,672493,0
1,1,0,116,1,0,1,0,206,1935205,97,1935108,0
1,1,0,75,0,0,0,1,1,642,539,103,0
1,1,0,61,0,0,0,0,8,1119,945,174,0
1,5,0,150,0,0,0,0,2435,43460,7438,36022,0
1,1,0,27,1,0,1,1,25,2300420,405,2300015,0
1,2,0,141,0,0,1,0,241,215375,1778,213597,0
1,2,0,90,0,0,0,1,536,172218,993,171225,0
1,2,0,63,1,0,1,1,1354,2078442,190,2078252,0
1,3,0,42,1,0,0,1,11,1361,570,791,0
1,2,0,77,0,0,0,0,759,146977,124,146853,0
1,2,0,125,1,0,1,1,1286,1251352,0,1251352,0
1,4,0,115,1,0,0,1,8104,466908,5812,461096,0
1,2,0,118,0,0,0,1,238,81226,137,81089,0
1,1,0,147,0,0,0,1,1542,98669,211,98458,0
1,6,0,38,0,0,0,1,203,325940,378,325562,0
1,1,0,11,0,0,0,0,1,102,269,-167,0
1,3,0,66,1,0,1,0,125,1449279,178,1449101,0
1,2,0,52,0,0,1,0,163,410099,145,409954,0
