Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0.333,2,0,22,0,0,0,0,7,454,1138,1,1
1,0,0,0,0,0,0,0,0,3,63,3373,0,1
0,0.375,0,0,0,0,0,0,0,0,2,0,Null,1
1,0,1,0,0,0,0,0,0,3,90,6261,0,1
1,0,2,0,1,0,1,0,0,3,248,366,Null,1
1,0,5,0,123,0,1,0,0,120,998,6088,Null,1
1,0,0,0,0,0,1,0,0,3,27,6053,Null,1
1,0,0,0,0,0,0,0,0,5,45,6091,0,1
1,0,1,0,0,0,0,0,0,4,76,5043,0,1
1,0.067,1,0,0,0,0,0,0,2,75,6208,0,1
1,0,1,0,0,0,0,0,0,3,93,6180,0,1
0,0.214,0,0,0,0,0,0,0,0,0,0,Null,1
1,0.286,2,0,0,0,0,0,0,1,38,14,0,1
0,0.267,1,0,0,0,0,0,0,0,0,0,Null,1
1,0.25,1,0,0,0,0,0,1,17,175,2748,0,1
1,0,0,0,0,0,1,0,0,4,36,6170,Null,1
1,0,2,0,39,0,1,0,0,12,407,7495,Null,1
1,0,0,0,0,0,1,0,0,2,22,3031,Null,1
1,0,1,0,0,0,0,0,0,4,61,4488,0,1
1,0,0,0,0,0,0,0,0,5,86,5249,0,1
1,0,0,0,0,0,0,0,0,3,7,720,0,1
1,0.167,2,0,0,0,0,0,0,17,486,1957,1,1
1,0,1,0,0,0,0,0,0,0,82,6181,Null,1
1,0,4,0,0,0,0,0,0,45,62,158,0,1
1,0,1,0,60,0,1,0,0,14,23,135,Null,1
1,0.25,1,0,0,0,1,0,0,27,103,1014,Null,1
1,0,0,0,0,0,1,0,0,2,27,4235,Null,1
1,0,0,0,0,0,0,0,0,5,61,2930,0,1
1,0,1,0,122,1,0,0,0,388,1679,6001,0,1
1,0.3,1,0,106,0,1,0,0,121,675,7502,Null,1
1,0,2,0,0,0,1,0,0,31,442,561,Null,1
1,0,0,0,0,0,1,0,0,3,33,6312,Null,1
1,0,1,0,17,0,1,0,0,79,260,124,Null,1
1,0,0,0,0,0,1,0,0,2,21,4918,Null,1
1,0.455,1,0,0,0,1,0,0,1,1,795,Null,1
1,0.154,2,0,21,0,1,0,0,21,1035,4282,Null,1
1,0,1,0,0,0,0,0,0,2,37,727,0,1
1,0.25,2,0,85,1,0,0,0,35,1309,5942,0,1
1,0,3,0,0,0,1,0,0,107,573,965,Null,1
1,0,1,0,0,0,0,0,0,2,87,6138,0,1
1,0,0,0,0,0,1,0,0,3,31,4429,Null,1
1,0,1,0,0,0,0,0,0,3,87,6241,0,1
1,0.083,2,0,0,0,1,0,0,147,60,1077,Null,1
0,0,0,0,0,0,0,0,0,0,0,244,Null,1
1,0.5,1,0,0,0,0,0,0,1,89,5166,0,1
0,0.182,2,0,36,0,1,0,0,55,685,1075,Null,1
1,0.067,2,0,150,0,0,0,0,9,193,564,0,1
1,0,2,0,8,0,1,0,0,428,176,333,Null,1
1,0,1,0,0,0,0,0,0,69,366,897,1,1
0,0.455,1,0,34,0,0,0,0,1,0,26,0,1
