Profile Pic,Nums/Length Username,Full Name Words,Nums/Length Fullname,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,Fake
1,0,2,0,42,1,0,0,0,102,678,405,1,0
1,0.067,2,0,0,1,0,0,0,58,333,434,1,0
1,0,0,0,0,1,0,0,0,44,538,364,1,0
1,0,2,0,14,1,0,0,0,188,3101,286,1,0
1,0,2,0,0,1,0,0,1,496,1078,1979,1,0
1,0,2,0,0,1,0,0,0,139,4822,1243,1,0
1,0,2,0,119,1,0,1,0,17922,2824234,3,1,0
1,0.308,2,0.286,143,1,0,0,1,59,388,403,1,0
1,0,2,0,22,1,0,0,0,1080,758,756,1,0
1,0,2,0,82,1,0,1,0,3059,52062972,1137,1,0
1,0.077,2,0,148,1,0,1,0,1646,4482166,1128,1,0
1,0,2,0,0,1,0,1,0,2776,207143908,441,1,0
1,0,2,0,59,1,0,1,0,993,36576562,373,1,0
1,0,3,0,82,1,0,1,1,8540,37888948,57,1,0
1,0,1,0,47,1,0,0,1,99,1093,3080,1,0
1,0,2,0,0,1,0,1,0,45,26595924,112,1,0
1,0,2,0,0,1,0,1,0,260,5763107,329,1,0
1,0,3,0,96,1,0,0,0,33,222438,3,1,0
1,0,2,0,32,1,0,0,1,232,904,827,1,0
1,0,2,0,0,1,0,0,0,143,1024,978,1,0
1,0,1,0,28,1,0,0,0,65,652,729,1,0
1,0,1,0,0,1,0,0,0,186,309,441,1,0
1,0,3,0,0,1,0,0,0,9,483,745,1,0
1,0,1,0,140,1,0,0,1,119,222183,496,1,0
1,0,2,0,116,1,0,0,1,444,221459,2,1,0
1,0.375,2,0,0,1,0,0,0,7,464,666,1,0
1,0,3,0,59,1,0,0,1,2318,286986,6,1,0
1,0,1,0,56,1,0,0,1,44,1044,597,1,0
1,0,2,0,58,1,0,0,1,4,114,171,1,0
1,0,2,0,18,1,0,1,1,543,1821345,345,1,0
1,0,2,0,65,1,0,0,1,175,832,768,1,0
1,0,2,0,0,1,0,0,1,80,441,397,1,0
1,0,2,0,146,1,0,0,1,749,2060,3290,1,0
1,0.2,2,0,0,1,0,0,0,7,104,199,1,0
1,0,2,0,90,1,0,0,0,136,747,763,0,0
1,0,2,0,0,1,0,0,0,130,859,712,1,0
1,0,2,0,94,1,0,0,0,98,1282,661,1,0
1,0,0,0,0,1,0,0,0,14,529,1194,1,0
1,0,2,0,141,1,0,0,0,59,535,649,0,0
1,0,2,0,11,1,0,0,1,63,624,527,1,0
1,0,2,0,23,1,0,1,0,27,30441753,327,1,0
1,0,2,0,0,1,0,0,1,22,332,719,0,0
1,0,2,0,47,1,0,0,1,701,1476,579,1,0
1,0,2,0,31,1,0,0,1,60,339,75,1,0
1,0,2,0,42,1,0,0,1,359,1587,829,1,0
1,0,4,0,90,1,0,0,1,870,28940,247,1,0
1,0.3,2,0,0,1,0,0,1,300,1050,510,1,0
1,0,2,0,6,1,0,0,0,38,1293,348,1,0
1,0,2,0,17,1,0,0,1,15,860,407,1,0
1,0,1,0,58,1,0,0,1,2181,368616,87,1,0
1,0,1,0,0,1,0,0,0,495,1887,938,1,0
1,0,1,0,149,1,0,0,1,155,221,186,1,0
1,0,0,0,46,1,0,0,1,512,57775,715,1,0
1,0.091,1,0,14,1,0,0,1,213,32911,296,1,0
1,0,5,0,70,1,0,0,1,9,3492,495,1,0
1,0,1,0,25,1,0,0,1,83,1116,570,1,0
1,0,3,0,146,1,0,0,1,974,5654,3800,1,0
1,0,3,0,119,1,0,0,0,2109,7446,1994,1,0
1,0,3,0,13,1,0,0,1,1497,874,379,1,0
1,0,1,0,135,1,0,0,1,70,284,638,1,0
1,0,1,0,51,1,0,0,1,65,2361,1786,1,0
1,0,1,0,34,1,0,0,0,66,700,1334,1,0
