Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake
1,0,3,74,0,0,1,96,3479,619,1,6.25,7.833,49.479,0
1,0,1,89,1,0,0,1770,90388,1394,1,4.0,50.0,2930.99,0
1,0,1,0,0,0,0,1694,6020,1453,1,2.0,2.917,113.14,0
1,0,2,49,1,0,1,9,1720,882,1,11.111,0.667,149.444,0
1,0,1,94,0,1,0,361,613189,883,1,1.0,10.0,78502.16,0
1,0,3,112,1,0,0,359,12832,489,1,2.0,12.5,413.04,0
1,0,3,96,1,0,0,443,130546,271,1,2.0,16.667,15275.52,0
1,0,2,34,1,0,0,219,1026,844,0,4.0,0,48.5,0
1,0,4,90,1,0,1,188,90379,586,1,2.0,10.0,12943.4,0
1,0,2,76,1,0,0,1070,682869,138,1,1.0,9.091,25315.16,0
1,0.429,3,21,1,0,1,198,21688,496,1,3.0,4.167,449.46,0
1,0,3,78,1,0,0,2045,19855,2332,1,2.0,12.5,944.67,0
1,0,2,118,1,1,0,1050,3375676,256,1,2.0,20.0,189525.1,0
1,0,2,133,1,1,0,2352,3971285,203,1,3.0,11.111,148578.39,0
1,0,2,36,1,1,1,403,17154271,405,1,4.0,14.286,1445273.77,0
1,0.1,2,147,1,0,0,2430,29481,1534,1,6.0,4.25,466.58,0
1,0,2,0,0,0,0,18,678,296,1,5.556,1.417,131.111,0
1,0,4,111,1,1,0,611,964653,2298,1,1.0,0.364,41592.68,0
1,0,2,131,1,0,0,327,177363,290,1,2.0,25.0,20247.64,0
1,0,3,71,1,0,1,112,21880,80,1,3.0,8.333,4548.32,0
1,0,2,68,1,0,0,42,735849,553,1,2.381,3.091,109568.952,0
1,0,2,123,1,1,0,2579,1761790,267,1,2.0,8.333,51772.96,0
1,0,2,131,1,1,0,1130,2477634,1870,1,2.0,14.286,272894.46,0
1,0,2,90,1,1,0,166,1661618,150,1,1.0,5.083,281640.36,0
1,0,4,90,0,1,0,2846,2320254,188,1,1.0,7.0,113684.16,0
1,0,3,123,1,0,0,196,41230,581,1,2.0,9.091,804.95,0
1,0,2,93,0,1,0,361,139547,1971,1,3.0,7.333,3977.61,0
1,0,1,91,1,0,0,57,741190,743,1,1.754,4.083,107332.772,0
1,0,1,116,1,1,0,210,1973162,96,1,1.0,6.417,212067.46,0
1,0,1,32,0,0,1,24,1772,1531,1,4.167,0.333,458.708,0
1,0,1,61,0,0,0,9,1125,951,1,11.111,0.75,89.889,0
1,0,5,150,0,0,0,2436,43289,7484,1,2.0,8.0,1159.15,0
1,0,1,27,1,1,1,32,2328203,414,1,9.375,6.4,137283.438,0
1,0,2,141,0,1,0,243,214644,1779,1,2.0,9.091,13695.85,0
1,0,2,90,0,0,1,538,171982,972,1,2.0,5.25,13457.97,0
1,0,2,63,1,1,1,1365,2165172,193,1,4.0,14.286,208096.38,0
1,0,3,6,0,0,1,10,1409,518,1,10.0,0.5,221.0,0
1,0,2,77,0,0,0,709,149253,122,1,2.0,25.0,3675.24,0
1,0,2,130,1,1,1,1298,1260714,0,1,2.0,20.0,52867.27,0
1,0,4,136,1,0,1,8291,481159,5814,1,10.0,100.0,2248.52,0
1,0,2,118,0,0,1,243,82230,137,1,1.0,9.091,4759.38,0
1,0,3,104,1,0,1,24,1803,391,1,4.167,2.667,290.333,0
1,0.083,2,73,0,0,1,21,480,619,1,4.762,0.667,90.857,0
1,0,2,2,0,0,0,38,1154,1712,0,5.263,0,171.316,0
1,0,1,66,1,0,1,81,792,753,1,1.235,1.917,208.173,0
1,0,2,0,0,0,0,23,507,1658,0,4.348,0,34.565,0
1,0,0,84,0,0,0,162,729,378,1,2.0,1.167,143.96,0
1,0,1,131,0,0,1,334,1385,630,1,3.0,16.667,73.96,0
1,0,2,144,0,0,1,25,1107,960,1,4.0,0.9,197.0,0
1,0,2,42,1,0,0,21,307,326,1,9.524,1.6,87.095,0
1,0,2,20,0,0,1,23,352,336,0,4.348,0.182,83.739,0
1,0,2,2,0,0,0,20,732,362,1,5.263,1.091,204.895,0
1,0,1,68,0,0,1,16,370,679,1,6.25,0.636,70.25,0
1,0,3,30,0,0,1,12,896,602,1,8.333,0.333,248.417,0
1,0,2,86,0,0,1,14,1051,261,1,7.143,1.222,201.071,0
1,0,2,6,0,0,0,9,1433,501,1,11.111,0.857,203.556,0
1,0,2,96,0,0,1,73,879,818,1,1.37,0.636,193.932,0
1,0,3,27,0,0,1,168,1509,839,1,1.0,0.417,203.28,0
1,0,2,32,0,0,0,9,745,625,1,11.111,0.2,220.556,0
1,0,2,25,0,0,1,31,437,571,1,6.452,0.25,72.194,0
1,0.095,2,22,0,0,0,46,638,470,1,2.174,0.727,96.761,0
1,0,2,36,0,0,1,134,1122,1077,1,1.0,0.5,119.83,0
1,0,1,47,0,0,1,16,894,1211,0,6.25,0.2,152.5,0
1,0,3,97,0,0,0,18,339,187,1,5.556,0.75,66.944,0
1,0,2,18,0,0,1,43,707,540,1,2.326,1.1,135.674,0
1,0.167,2,14,1,0,0,338,783,872,1,1.0,1.25,98.74,0
1,0,2,42,0,0,0,542,1574,905,1,1.0,1.167,265.52,0
1,0,2,17,0,0,0,158,1015,427,1,1.0,4.167,217.43,0
1,0,1,29,0,0,1,14,552,929,1,7.143,0.667,132.071,0
1,0,3,89,1,0,1,39,484,422,1,2.564,5.571,37.615,0
1,0,1,8,0,0,1,50,322,486,0,8.0,0.222,39.84,0
1,0,2,82,0,0,1,123,1606,912,1,1.0,4.25,113.44,0
1,0,2,104,0,0,1,78,444,314,1,2.564,1.667,51.41,0
1,0,2,0,0,0,0,27,882,380,1,3.704,1.273,186.0,0
1,0,3,43,0,0,0,79,119552,357,1,1.266,6.083,7435.873,0
1,0,1,40,0,0,0,11,352,767,1,9.091,0.917,106.091,0
1,0.118,5,136,0,0,1,24,963,395,1,12.5,4.0,191.292,0
1,0.133,1,104,0,0,0,33,995,817,1,3.03,0.667,231.242,0
1,0,2,92,0,0,0,22,478,487,1,4.762,3.0,128.905,0
1,0,2,59,0,0,0,20,289,230,1,5.0,1.083,117.05,0
1,0,2,90,0,0,1,32,768,518,1,3.125,0.917,193.062,0
1,0,2,0,0,0,0,14,655,336,1,7.143,0.667,145.286,0
1,0,2,28,0,0,1,30,825,511,1,3.333,0.5,204.633,0
1,0,1,49,0,0,1,46,822,2063,1,2.174,0.667,164.609,0
1,0,2,18,0,0,0,8,721,1445,1,12.5,0.444,164.625,0
1,0.111,2,77,0,1,1,58,427974,505,1,1.724,3.917,36985.983,0
1,0,1,58,1,0,1,8,957,1706,1,12.5,0.727,92.25,0
1,0,2,88,1,0,1,42,1261,263,1,2.381,1.0,208.81,0
1,0,2,32,1,0,1,25,1845,692,1,4.0,0.818,460.4,0
1,0.083,2,79,0,0,1,164,1195,546,1,2.0,1.167,176.69,0
1,0,3,134,0,0,1,57,1290,1286,1,3.509,6.333,182.842,0
1,0,3,12,0,0,1,31,1996,840,1,9.677,1.333,274.419,0
1,0,1,29,0,0,1,37,1486,658,1,2.703,1.75,182.162,0
1,0,1,19,0,0,1,10,1604,393,1,10.0,0.833,146.8,0
1,0,1,61,1,0,1,34,1132,772,1,2.941,0.833,132.118,0
1,0,1,24,0,0,1,155,1370,720,1,2.0,1.5,116.49,0
1,0,2,36,0,0,0,622,997,1026,1,3.0,2.25,151.25,0
1,0,1,48,0,0,1,9,671,423,1,11.111,0.333,89.778,0
1,0,2,15,0,0,1,29,704,610,1,6.897,0.25,112.207,0
1,0.2,2,27,0,0,1,23,351,536,1,4.348,0.75,69.043,0
1,0,3,71,0,0,0,17,103,130,1,17.647,5.667,18.765,0
1,0,2,86,0,0,1,249,1627,719,1,2.0,3.25,212.96,0
1,0,2,9,0,0,1,2055,1268,1805,1,3.0,5.333,112.43,0
1,0,2,8,0,0,1,63,1818,273,1,1.587,2.0,323.968,0
1,0,2,56,0,0,1,635,1665,651,1,1.0,5.75,116.39,0
1,0,0,0,0,0,0,63,333,356,1,68.254,7.0,14.683,0
1,0,2,4,0,0,0,21,740,773,1,14.286,3.5,110.095,0
1,0,1,10,0,0,0,510,815,607,1,2.0,1.667,87.64,0
1,0,2,73,0,0,1,50,1236,549,1,2.0,2.0,221.52,0
1,0,2,27,0,0,1,80,523,374,1,1.25,2.636,78.85,0
1,0,3,136,1,0,1,820,1730,4034,1,15.0,20.0,34.63,0
1,0,2,6,0,0,0,63,285,282,1,4.762,1.833,29.19,0
1,0,1,65,0,0,0,35,1039,907,1,2.857,1.364,188.8,0
1,0.5,3,143,0,0,1,165,846,347,1,1.0,3.167,140.89,0
1,0,1,18,1,0,0,113,1158,581,1,2.0,3.167,120.43,0
1,0.444,4,140,0,0,1,1011,548,727,1,3.0,12.5,29.7,0
1,0,2,44,0,0,1,650,655,815,1,5.0,1.833,52.4,0
1,0,2,1,0,0,0,261,1287,1456,1,3.0,2.083,82.13,0
1,0,2,0,0,0,0,17,1773,36,0,5.882,0.333,119.824,0
1,0,1,24,0,0,1,162,1141,384,1,2.0,1.333,251.09,0
1,0,1,31,1,0,0,867,984,423,1,3.0,2.333,128.36,0
1,0,2,102,0,0,0,408,1705,2270,1,2.0,16.667,182.99,0
1,0,1,118,1,0,1,80,5609,199,1,2.5,1.0,257.75,0
1,0,5,146,1,0,1,809,47767,448,1,2.0,3.083,3734.0,0
1,0,1,13,1,1,0,178,4609755,1,1,4.0,5.333,565325.05,0
1,0,2,24,1,1,0,1518,7706933,374,1,5.0,25.0,232441.44,0
1,0,1,13,1,1,1,7075,3778718,0,1,8.0,100.0,13118.12,0
1,0,2,0,0,0,0,240,32492,309,1,2.0,1.583,1257.27,0
1,0.091,4,122,1,0,0,76,96766,280,1,2.632,3.5,10940.053,0
1,0,0,130,0,0,0,161,198912,322,1,1.0,4.333,21381.46,0
1,0,3,133,0,0,0,38,212353,94,1,5.263,1.667,21091.5,0
1,0.143,1,2,0,0,0,158,177800,346,1,3.0,4.083,22619.29,0
1,0,2,22,1,1,0,356,146679,126,1,3.0,4.583,14323.29,0
1,0,1,36,1,0,0,213,269282,172,1,1.0,7.833,30702.15,0
1,0,1,86,1,0,1,259,240174,124,1,2.0,10.0,19061.88,0
1,0,2,114,1,1,0,535,10242135,971,1,4.0,16.667,776006.17,0
1,0,1,18,0,0,1,30,31749,49,1,3.333,0.7,2565.4,0
1,0.083,4,75,1,0,0,755,233295,476,1,4.0,7.833,23485.31,0
1,0.111,1,104,1,0,1,191,247990,351,1,2.0,7.5,23715.95,0
1,0,2,115,1,0,0,350,592070,396,1,2.0,3.417,71762.68,0
1,0,6,110,0,0,1,457,81805,344,1,4.0,8.333,4710.45,0
1,0,0,99,0,0,0,2605,83868,486,1,3.0,33.333,3052.89,0
1,0,2,129,1,0,0,103,197117,298,1,2.0,1.167,22413.66,0
1,0.125,1,50,1,0,0,77,260256,186,1,2.632,2.083,30746.395,0
1,0,4,136,1,0,0,403,202697,35,1,2.0,5.5,19846.64,0
1,0,2,35,1,0,0,38,202454,88,1,2.857,0.833,37313.571,0
1,0.071,1,41,0,0,1,25,15429,216,1,4.0,1.5,633.8,0
1,0,4,20,0,0,0,96,63876,135,0,2.083,0.182,4548.99,0
1,0,1,90,1,0,1,612,3301277,225,1,4.0,14.286,234245.31,0
1,0.056,2,41,0,0,0,5592,778558,117,1,14.0,33.333,26289.16,0
1,0,1,139,1,0,0,446,352523,489,1,1.0,4.667,32540.84,0
1,0,2,70,1,0,0,237,55343,633,1,4.0,6.333,7593.14,0
1,0.1,1,77,1,0,0,41,109078,265,1,2.5,0.75,13479.525,0
1,0,1,17,1,0,0,277,52760,568,1,3.0,1.167,4540.66,0
1,0,4,60,0,0,1,1097,181143,234,1,1.0,25.0,12009.3,0
1,0.1,1,32,1,0,0,519,429181,376,1,2.0,0.727,42586.92,0
1,0,1,144,1,0,0,255,223473,122,1,2.0,8.333,23072.41,0
1,0,2,124,1,1,1,72,410171,0,1,12.5,3.083,41462.625,0
1,0,3,150,1,0,1,2058,29407,2,1,9.0,33.333,130.32,0
1,0,1,68,1,1,1,1403,720777,214,1,2.0,1.5,40485.04,0
1,0,3,61,1,1,0,94,1481694,127,1,2.128,0.455,57405.011,0
1,0,4,77,1,0,1,1146,21655,1094,1,2.0,11.111,428.04,0
1,0,1,84,1,0,0,46,68179,1,0,13.043,0,9484.5,0
1,0,2,34,1,1,1,92,478428,47,1,3.261,3.917,27253.533,0
1,0,2,54,1,1,1,312,1573420,341,1,2.0,5.75,140972.38,0
1,0,2,13,1,1,1,710,2801309,942,1,2.0,9.091,134734.6,0
1,0.167,2,14,1,0,0,338,783,872,1,1.0,1.25,98.74,0
1,0,3,54,0,0,1,284,72371,1093,1,2.0,5.25,3181.58,0
1,0,2,0,0,0,0,27,16958,38,1,7.407,0.75,2019.852,0
1,0,2,124,1,0,0,122,18821,4,0,1.0,0,1439.16,0
1,0,3,37,1,1,0,147,509147,128,1,3.0,0.667,40188.49,0
1,0,3,128,1,0,1,337,11396,32,1,3.0,7.5,227.97,0
1,0,0,52,0,0,0,121,26465,115,0,3.0,0,1432.85,0
1,0,2,32,1,0,1,138,12847,20,1,2.0,2.0,399.41,0
1,0,2,49,0,0,1,2099,122098,499,1,2.0,3.917,5010.25,0
1,0.077,4,148,0,0,1,221,14130,3,1,3.0,0.455,403.19,0
1,0,1,44,1,0,1,625,27989,568,1,1.0,10.0,692.48,0
1,0,2,34,1,0,1,1582,52032,974,1,4.0,33.333,588.28,0
1,0,1,85,1,0,0,1617,91189,425,1,3.0,7.333,3279.83,0
1,0,2,50,1,0,1,754,66498,843,1,2.0,4.333,1259.19,0
1,0.267,2,124,1,0,0,402,77708,1135,1,2.0,9.091,2828.54,0
1,0,2,60,1,1,0,1231,1373431,120,1,3.0,20.0,112004.67,0
1,0,3,0,0,0,1,16,482,436,1,6.25,0.333,96.812,0
1,0.182,2,144,0,1,0,1831,157772,466,1,2.0,12.5,8574.27,0
1,0.1,2,97,0,1,0,56,31074,388,1,3.571,5.091,1104.804,0
1,0,2,106,1,1,1,1187,900627,497,1,2.0,14.286,15679.71,0
1,0,6,111,0,0,1,250,41979,1577,1,2.0,0.25,839.14,0
1,0,1,7,1,0,1,468,2011,795,1,1.0,3.0,213.84,0
1,0,2,0,0,1,0,293,287045,1069,1,6.0,2.25,13267.36,0
1,0,2,87,1,1,0,57,179806,79,1,3.509,8.143,17811.368,0
1,0,2,92,1,1,1,4477,1493744,81,1,9.0,100.0,3809.4,0
1,0,2,36,1,1,1,2126,3571337,312,1,4.0,50.0,99390.41,0
1,0,2,88,0,0,1,173,1752,991,1,2.0,2.0,351.4,0
1,0,1,0,0,0,1,103,457,414,1,1.0,2.5,112.91,0
1,0,1,72,0,0,0,43,755,837,1,6.977,0.6,147.558,0
1,0,2,16,0,0,1,235,2025,614,1,1.0,1.0,310.78,0
1,0,1,5,0,0,1,18,672,486,1,5.556,0.6,195.056,0
1,0,3,67,1,1,1,12673,37601089,81,1,7.0,100.0,212327.89,0
1,0,3,31,0,1,0,527,299238,327,1,3.0,16.667,16819.06,0
1,0.083,4,128,1,1,0,592,66099,156,1,2.0,12.5,1914.82,0
1,0.143,2,105,1,1,1,847,37023,1830,1,3.0,4.083,2435.04,0
1,0,3,0,0,1,0,0,390012,941,0,0,0,0,0
1,0,2,88,1,1,1,3575,7979365,343,1,5.0,33.333,82266.98,0
1,0,2,38,1,1,0,659,2835045,587,1,2.0,10.0,294069.46,0
1,0,2,145,1,1,0,786,15023801,0,1,4.0,20.0,285578.03,0
1,0,2,59,0,0,0,394,1384,868,1,1.0,6.083,261.23,0
1,0,4,0,0,1,0,444,45968480,45,1,9.0,8.333,2336050.16,0
1,0,4,93,1,1,0,563,974513,2094,1,2.0,8.333,39410.73,0
1,0,2,3,0,0,0,21,816,555,0,4.762,0.111,83.524,0
1,0.182,4,70,1,1,0,901,54722,149,1,2.0,4.833,2749.82,0
1,0,2,3,1,1,1,1435,4707629,547,1,2.0,5.5,399511.36,0
1,0.05,4,0,0,1,0,171,248020,284,1,2.0,3.909,8490.42,0
1,0,3,12,1,1,1,2871,1771523,70,1,5.0,33.333,17978.57,0
1,0,1,39,0,1,1,822,110827,166,1,2.0,10.0,7478.92,0
1,0.286,2,97,0,1,1,1625,381134,377,1,3.0,9.091,17534.72,0
1,0,3,78,1,1,1,6975,687177,410,1,17.0,100.0,16723.01,0
1,0,2,12,0,1,1,392,3868071,389,1,3.0,4.75,189018.5,0
1,0,5,75,1,1,1,4248,1303745,350,1,11.0,100.0,19760.57,0
1,0,4,23,0,0,0,10,37,35,1,20.0,1.25,16.4,0
1,0.182,2,63,0,0,0,9,803,976,0,11.111,0.091,97.889,0
1,0.286,2,30,0,0,0,3,1513,698,1,33.333,3.0,184.667,0
1,0,1,17,0,0,0,22,1939,738,1,4.545,0.917,311.818,0
1,0,5,95,1,0,0,160,5197,1061,1,2.0,16.667,279.87,0
1,0,3,27,1,0,1,138,689,748,1,2.0,7.667,78.32,0
1,0,1,5,0,0,1,9,8840,1085,1,22.222,0.333,334.333,0
1,0,0,5,0,0,0,0,469,354,0,0,0,0,0
1,0,2,9,0,0,0,85,404,249,1,2.353,0.917,31.424,0
1,0,0,23,0,0,0,1,1151,1281,0,100.0,0.111,364.0,0
1,0,2,137,1,1,0,2762,979273,2192,1,3.0,25.0,31003.29,0
1,0,1,113,1,1,0,517,1228746,806,1,2.0,7.167,40044.57,0
0,0,0,0,0,1,1,0,49658,257,0,0,0,0,0
1,0.2,2,146,0,1,0,87,506941,790,1,2.299,3.083,26181.034,0
1,0,0,79,0,1,0,1952,1102911,564,1,3.0,12.5,63587.32,0
1,0,3,149,0,1,1,15296,16484797,750,1,9.0,100.0,293672.45,0
1,0,2,34,1,0,1,170,1757,811,1,2.0,0.375,203.27,0
1,0,2,110,0,1,0,1323,1465718,708,1,2.0,9.091,48966.38,0
